DepthOrig;DepthCorr;DepthAdj;Al;Si;Ca;Ti;K;Zr;
200.077;200.257;62.188;0.813220276;1.301323791;0.004221505;0.764530921;;;
;200.2575;62.189;0.30301675;1.278938036;-0.209201051;0.761039157;;;
200.078;200.258;62.19;-0.207186767;1.25655228;-0.422623607;0.757547392;;;
200.079;200.259;62.191;0.481302736;0.938970889;0.357129397;0.634462694;;;
200.08;200.26;62.192;1.112474042;1.114937543;0.375190394;0.140378019;;;
200.082;200.262;62.193;0.880919283;1.319371316;0.132495673;0.760166216;;;
;200.2625;62.194;0.910406164;1.356541101;0.1042497;0.657159163;;;
200.083;200.263;62.195;0.939893037;1.393710858;0.076003728;0.554152111;;;
200.084;200.264;62.196;0.561575054;0.824827175;0.105404173;0.231163896;;;
200.085;200.265;62.197;1.247782568;0.777355781;0.742464992;0.387420357;;;
200.087;200.267;62.198;-0.243116912;0.297163157;0.539073471;0.238147425;;;
200.088;200.268;62.199;1.320179784;1.460173466;-0.709547262;0.552406229;;;
;200.2685;62.2;1.734293672;1.538287653;-0.450022971;0.792465037;;;
200.089;200.269;62.201;2.14840756;1.61640184;-0.190498681;1.032523846;;;
200.09;200.27;62.202;1.262951084;2.123554338;-0.722528609;1.322340299;;;
200.091;200.271;62.203;0.872820453;1.616441159;-0.268694611;-0.159913727;;;
200.093;200.273;62.204;0.767759471;2.235338898;-0.441095091;0.5454227;;;
;200.2735;62.205;1.010209621;2.106673274;-0.411386788;0.658905046;;;
200.094;200.274;62.206;1.252659762;1.978007677;-0.381678493;0.772387392;;;
200.095;200.275;62.207;1.907411629;2.318197624;-0.831459033;1.320594417;;;
200.096;200.276;62.208;0.834921543;1.621146379;-1.028642082;0.784608567;;;
200.098;200.278;62.209;1.481574581;2.10186324;-0.587584188;1.187034425;;;
200.099;200.279;62.21;0.833400217;2.066030309;-0.825763661;0.886742679;;;
;200.2795;62.211;-0.728777865;0.0613723;-0.975100448;-0.438381945;;;
200.1;200.28;62.212;-2.290955939;-1.943285681;-1.124437228;-1.763506569;;;
200.101;200.281;62.213;-0.470286677;-1.30702196;-0.790667851;-0.556228997;;;
200.102;200.282;62.214;-0.736205511;-1.229943161;-0.641818505;-0.961273678;;;
200.103;200.283;62.215;-1.441877055;-1.203887629;-0.585121325;-0.999683087;;;
200.104;200.284;62.216;-0.916885345;-0.974394393;-0.479731266;-0.502979588;;;
200.105;200.285;62.217;-1.312206386;-0.876174965;-0.534222138;-0.777956042;;;
