Location;Trough_Value
74.127;173
75.002;346
75.852;519
76.697;692
77.532;865
78.367;1038
79.192;1211
80.012;1384
80.817;1557
81.602;1730
82.372;1903
83.107;2076
83.837;2249
84.617;2422
85.427;2595
86.252;2768
87.087;2941
87.922;3114
88.752;3287
89.577;3460
90.387;3633
91.157;3806
91.922;3979
92.712;4152
93.527;4325
