"","depth","fit","SD"
"1",73.453,0.874999999999999,6.66133814775094e-16
"2",73.458,0.874999999999999,7.7715611723761e-16
"3",73.463,0.874999999999999,7.7715611723761e-16
"4",73.468,0.874999999999999,6.66133814775094e-16
"5",73.473,0.874999999999999,6.66133814775094e-16
"6",73.478,0.874999999999999,6.66133814775094e-16
"7",73.483,0.875,4.44089209850063e-16
"8",73.488,0.875,4.44089209850063e-16
"9",73.493,0.875,4.44089209850063e-16
"10",73.498,0.875,3.33066907387547e-16
"11",73.503,0.875,2.22044604925031e-16
"12",73.508,0.875,2.22044604925031e-16
"13",73.5129999999999,0.875,3.33066907387547e-16
"14",73.5179999999999,0.875,2.22044604925031e-16
"15",73.5229999999999,0.875,2.22044604925031e-16
"16",73.5279999999999,0.875,2.22044604925031e-16
"17",73.5329999999999,0.875,1.11022302462516e-16
"18",73.5379999999999,0.875,1.11022302462516e-16
"19",73.5429999999999,0.875,0
"20",73.5479999999999,0.875,1.11022302462516e-16
"21",73.5529999999999,0.875,0
"22",73.5579999999999,0.875,0
"23",73.5629999999999,0.875,0
"24",73.5679999999999,0.875,1.11022302462516e-16
"25",73.5729999999999,0.875,1.11022302462516e-16
"26",73.5779999999999,0.875,2.22044604925031e-16
"27",73.5829999999999,0.875,2.22044604925031e-16
"28",73.5879999999999,0.875,2.22044604925031e-16
"29",73.5929999999999,0.875,1.11022302462516e-16
"30",73.5979999999999,0.875,2.22044604925031e-16
"31",73.6029999999999,0.875,2.22044604925031e-16
"32",73.6079999999999,0.875,2.22044604925031e-16
"33",73.6129999999999,0.875,2.22044604925031e-16
"34",73.6179999999999,0.875,1.11022302462516e-16
"35",73.6229999999998,0.875,2.22044604925031e-16
"36",73.6279999999998,0.875,1.11022302462516e-16
"37",73.6329999999998,0.875,2.22044604925031e-16
"38",73.6379999999998,0.875,0
"39",73.6429999999998,0.875,1.11022302462516e-16
"40",73.6479999999998,0.875,3.33066907387547e-16
"41",73.6529999999998,0.875,2.22044604925031e-16
"42",73.6579999999998,0.875,2.22044604925031e-16
"43",73.6629999999998,0.875,2.22044604925031e-16
"44",73.6679999999998,0.875,1.11022302462516e-16
"45",73.6729999999998,0.875,1.11022302462516e-16
"46",73.6779999999998,0.875,2.22044604925031e-16
"47",73.6829999999998,0.875,2.22044604925031e-16
"48",73.6879999999998,0.875,2.22044604925031e-16
"49",73.6929999999998,0.875,2.22044604925031e-16
"50",73.6979999999998,0.875,2.22044604925031e-16
"51",73.7029999999998,0.875,1.11022302462516e-16
"52",73.7079999999998,0.875,2.22044604925031e-16
"53",73.7129999999998,0.875,2.22044604925031e-16
"54",73.7179999999998,0.875,2.22044604925031e-16
"55",73.7229999999998,0.875,3.33066907387547e-16
"56",73.7279999999998,0.875,2.22044604925031e-16
"57",73.7329999999997,0.875,1.11022302462516e-16
"58",73.7379999999997,0.875,2.22044604925031e-16
"59",73.7429999999997,0.875,1.11022302462516e-16
"60",73.7479999999997,0.875,2.22044604925031e-16
"61",73.7529999999997,0.875,2.22044604925031e-16
"62",73.7579999999997,0.875,2.22044604925031e-16
"63",73.7629999999997,0.875,2.22044604925031e-16
"64",73.7679999999997,0.875,2.22044604925031e-16
"65",73.7729999999997,0.875,2.22044604925031e-16
"66",73.7779999999997,0.875,2.22044604925031e-16
"67",73.7829999999997,0.875,2.22044604925031e-16
"68",73.7879999999997,0.875,2.22044604925031e-16
"69",73.7929999999997,0.875,2.22044604925031e-16
"70",73.7979999999997,0.875,3.33066907387547e-16
"71",73.8029999999997,0.875,3.33066907387547e-16
"72",73.8079999999997,0.875,3.33066907387547e-16
"73",73.8129999999997,0.875,3.33066907387547e-16
"74",73.8179999999997,0.875,2.22044604925031e-16
"75",73.8229999999997,0.875,2.22044604925031e-16
"76",73.8279999999997,0.875,3.33066907387547e-16
"77",73.8329999999997,0.875,3.33066907387547e-16
"78",73.8379999999997,0.875,4.44089209850063e-16
"79",73.8429999999996,0.875,4.44089209850063e-16
"80",73.8479999999996,0.875,4.44089209850063e-16
"81",73.8529999999996,0.875,4.44089209850063e-16
"82",73.8579999999996,0.875,4.44089209850063e-16
"83",73.8629999999996,0.875,4.44089209850063e-16
"84",73.8679999999996,0.875,4.44089209850063e-16
"85",73.8729999999996,0.875,4.44089209850063e-16
"86",73.8779999999996,0.875,4.44089209850063e-16
"87",73.8829999999996,0.875,4.44089209850063e-16
"88",73.8879999999996,0.875,4.44089209850063e-16
"89",73.8929999999996,0.875000000000001,5.55111512312578e-16
"90",73.8979999999996,0.875000000000001,5.55111512312578e-16
"91",73.9029999999996,0.875000000000001,5.55111512312578e-16
"92",73.9079999999996,0.875000000000001,5.55111512312578e-16
"93",73.9129999999996,0.875000000000001,5.55111512312578e-16
"94",73.9179999999996,0.875000000000001,5.55111512312578e-16
"95",73.9229999999996,0.875000000000001,5.55111512312578e-16
"96",73.9279999999996,0.875000000000001,5.55111512312578e-16
"97",73.9329999999996,0.875,4.44089209850063e-16
"98",73.9379999999996,0.875000000000001,5.55111512312578e-16
"99",73.9429999999996,0.875,4.44089209850063e-16
"100",73.9479999999996,0.875000000000001,5.55111512312578e-16
"101",73.9529999999995,0.875,4.44089209850063e-16
"102",73.9579999999995,0.875,4.44089209850063e-16
"103",73.9629999999995,0.875000000000001,5.55111512312578e-16
"104",73.9679999999995,0.875000000000001,6.66133814775094e-16
"105",73.9729999999995,0.875000000000001,6.66133814775094e-16
"106",73.9779999999995,0.875,4.44089209850063e-16
"107",73.9829999999995,0.875,3.33066907387547e-16
"108",73.9879999999995,0.875,4.44089209850063e-16
"109",73.9929999999995,0.875,3.33066907387547e-16
"110",73.9979999999995,0.875,4.44089209850063e-16
"111",74.0029999999995,0.875,4.44089209850063e-16
"112",74.0079999999995,0.875,4.44089209850063e-16
"113",74.0129999999995,0.875,4.44089209850063e-16
"114",74.0179999999995,0.875,3.33066907387547e-16
"115",74.0229999999995,0.875,4.44089209850063e-16
"116",74.0279999999995,0.875,2.22044604925031e-16
"117",74.0329999999995,0.875,3.33066907387547e-16
"118",74.0379999999995,0.875,4.44089209850063e-16
"119",74.0429999999995,0.875,3.33066907387547e-16
"120",74.0479999999995,0.875,2.22044604925031e-16
"121",74.0529999999995,0.875,4.44089209850063e-16
"122",74.0579999999995,0.875,2.22044604925031e-16
"123",74.0629999999994,0.875,3.33066907387547e-16
"124",74.0679999999994,0.875,3.33066907387547e-16
"125",74.0729999999994,0.875,3.33066907387547e-16
"126",74.0779999999994,0.875,3.33066907387547e-16
"127",74.0829999999994,0.875,3.33066907387547e-16
"128",74.0879999999994,0.875,3.33066907387547e-16
"129",74.0929999999994,0.875,3.33066907387547e-16
"130",74.0979999999994,0.875,3.33066907387547e-16
"131",74.1029999999994,0.875,3.33066907387547e-16
"132",74.1079999999994,0.875,3.33066907387547e-16
"133",74.1129999999994,0.875,3.33066907387547e-16
"134",74.1179999999994,0.875,3.33066907387547e-16
"135",74.1229999999994,0.875,2.22044604925031e-16
"136",74.1279999999994,0.875,2.22044604925031e-16
"137",74.1329999999994,0.875,2.22044604925031e-16
"138",74.1379999999994,0.875,2.22044604925031e-16
"139",74.1429999999994,0.875,2.22044604925031e-16
"140",74.1479999999994,0.875,2.22044604925031e-16
"141",74.1529999999994,0.875,1.11022302462516e-16
"142",74.1579999999994,0.875,1.11022302462516e-16
"143",74.1629999999994,0.875,1.11022302462516e-16
"144",74.1679999999994,0.875,0
"145",74.1729999999993,0.875,0
"146",74.1779999999993,0.875,0
"147",74.1829999999993,0.875,0
"148",74.1879999999993,0.875,0
"149",74.1929999999993,0.875,0
"150",74.1979999999993,0.875,0
"151",74.2029999999993,0.875,1.11022302462516e-16
"152",74.2079999999993,0.875,1.11022302462516e-16
"153",74.2129999999993,0.875,1.11022302462516e-16
"154",74.2179999999993,0.875,1.11022302462516e-16
"155",74.2229999999993,0.875,1.11022302462516e-16
"156",74.2279999999993,0.875,1.11022302462516e-16
"157",74.2329999999993,0.875,1.11022302462516e-16
"158",74.2379999999993,0.875,1.11022302462516e-16
"159",74.2429999999993,0.875,1.11022302462516e-16
"160",74.2479999999993,0.875,1.11022302462516e-16
"161",74.2529999999993,0.875,2.22044604925031e-16
"162",74.2579999999993,0.875,1.11022302462516e-16
"163",74.2629999999993,0.875,0
"164",74.2679999999993,0.875,2.22044604925031e-16
"165",74.2729999999993,0.875,1.11022302462516e-16
"166",74.2779999999993,0.875,0
"167",74.2829999999992,0.875,0
"168",74.2879999999992,0.875,0
"169",74.2929999999992,0.875,1.11022302462516e-16
"170",74.2979999999992,0.875,2.22044604925031e-16
